day,otp_verified_count,ai_verified_count,manual_verified_count,total verified QR
13-Jul-26,3741,59,245,4045
12-Jul-26,3742,83,209,4034
11-Jul-26,3785,154,213,4152
10-Jul-26,2937,64,92,3093
9-Jul-26,2602,27,140,2769
8-Jul-26,3064,23,175,3262
7-Jul-26,3065,36,146,3247
6-Jul-26,2434,25,44,2503
5-Jul-26,2371,5,77,2453
4-Jul-26,2475,26,133,2634
3-Jul-26,2379,22,56,2457
2-Jul-26,2513,15,92,2620
1-Jul-26,2751,54,164,2969
30-Jun-26,2886,76,209,3171
29-Jun-26,3350,89,220,3659
28-Jun-26,4063,118,225,4406
27-Jun-26,3740,115,274,4129
26-Jun-26,2252,49,67,2368
25-Jun-26,1678,5,13,1696
24-Jun-26,2518,5,22,2545
23-Jun-26,3418,49,135,3602
22-Jun-26,2851,39,167,3057
